+----------+--------------------------------------------------------------------------------------------------------+--------------+---------------------------------------------------------------+-------------+
|   bookid | title                                                                                                  |   avg_rating | authors                                                       |   num_pages |
|      385 | On Bullshit                                                                                            |         9    | Harry G. Frankfurt                                            |          67 |
|      100 | Simply Beautiful Beading: 53 Quick and Easy Projects                                                   |         9    | Heidi Boyd                                                    |         128 |
|      350 | Stranger in a Strange Land                                                                             |         9    | Robert A. Heinlein                                            |         528 |
|      171 | The Evidence-Based Social Work Skills Book                                                             |         9    | Barry R. Cournoyer                                            |         216 |
|      678 | The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories                             |         9    | Christopher Caswell                                           |         286 |
|       67 | The Known World                                                                                        |         9    | Edward P. Jones                                               |         388 |
|      357 | The Long Dark Tea-Time of the Soul (Dirk Gently  #2)                                                   |         9    | Douglas Adams                                                 |         307 |
|      359 | The Salmon of Doubt (Dirk Gently  #3)                                                                  |         9    | Douglas Adams                                                 |         298 |
|      278 | The War                                                                                                |         9    | Barbara Bray, Marguerite Duras                                |         192 |
|      332 | The Wedding Clause                                                                                     |         9    | Debbie Raleigh                                                |         256 |
|     1032 | Trump: The Art of the Deal                                                                             |         9    | Donald J. Trump, Tony Schwartz                                |         384 |
|       75 | Uncommon Carriers                                                                                      |         9    | John McPhee                                                   |         248 |
|      423 | Where I Was From                                                                                       |         9    | Joan Didion                                                   |         240 |
|      181 | A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)                                |         8.5  | Madeleine L'Engle                                             |         250 |
|       77 | The Control of Nature                                                                                  |         8.5  | John McPhee                                                   |         288 |
|     1005 | Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century              |         8.5  | Napoleon Hill                                                 |         320 |
|       58 | Changeling (Changeling  #1)                                                                            |         8    | Delia Sherman                                                 |         256 |
|      477 | Collapse of Complex Societies                                                                          |         8    | Joseph A. Tainter                                             |         262 |
|      764 | Del amor y otros demonios                                                                              |         8    | Gabriel García Márquez                                        |         176 |
|      159 | Dinner with Anna Karenina                                                                              |         8    | Gloria Goldreich                                              |         360 |
|      866 | Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9)                                                  |         8    | Akira Watanabe, Hiromu Arakawa                                |         192 |
|      415 | Gravity's Rainbow                                                                                      |         8    | Thomas Pynchon                                                |         776 |
|        1 | Harry Potter and the Half-Blood Prince (Harry Potter  #6)                                              |         8    | J.K. Rowling, Mary GrandPré                                   |         652 |
|      245 | Henry Miller on Writing                                                                                |         8    | Henry Miller, Thomas H. Moore                                 |         217 |
|      394 | Lincoln at Gettysburg: The Words That Remade America                                                   |         8    | Garry Wills                                                   |         317 |
|      931 | Memoirs of a Geisha                                                                                    |         8    | Arthur Golden                                                 |         497 |
|      237 | Poetry for Young People: Edward Lear                                                                   |         8    | Edward Lear, Edward Mendelson, Laura Huliska-Beith            |          48 |
|       34 | The Fellowship of the Ring (The Lord of the Rings  #1)                                                 |         8    | J.R.R. Tolkien                                                |         398 |
|      665 | The Virtue of Selfishness: A New Concept of Egoism                                                     |         8    | Ayn Rand, Nathaniel Branden                                   |         176 |
|      815 | Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager                     |         8    | H.G. Bissinger                                                |         287 |
|      354 | To Sail Beyond the Sunset                                                                              |         8    | Robert A. Heinlein                                            |         434 |
|      302 | Treasure Island (Great Illustrated Classics)                                                           |         8    | A.J. McAllister, Deidre S. Laiken, Robert Louis Stevenson     |         232 |
|      362 | Wish You Were Here: The Official Biography of Douglas Adams                                            |         8    | Nick Webb                                                     |         368 |
|       93 | Heidi (Heidi  #1-2)                                                                                    |         7.67 | Angelo Rinaldi, Beverly Cleary, Johanna Spyri                 |         352 |
|      824 | The Cobweb                                                                                             |         7.67 | J. Frederick George, Neal Stephenson                          |         448 |
|       18 | The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)                               |         7.67 | Douglas Adams                                                 |         815 |
|      576 | 1000 Record Covers                                                                                     |         7.5  | Michael Ochs, Patrick Javault, Ulrike Wasel                   |         575 |
|      105 | Chapterhouse: Dune (Dune Chronicles #6)                                                                |         7.5  | Frank Herbert                                                 |         436 |
|      515 | Programming Ruby: The Pragmatic Programmers' Guide                                                     |         7.5  | Andy Hunt, Chad Fowler, Dave Thomas                           |         828 |
|      277 | Writing                                                                                                |         7.5  | Marguerite Duras                                              |          91 |
|       71 | Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives                        |         7.33 | Satyajit Das                                                  |         334 |
|      422 | A Book of Common Prayer                                                                                |         7    | Joan Didion                                                   |         272 |
|      156 | Anna Karenina                                                                                          |         7    | Aylmer Maude, Leo Tolstoy, Louise Maude                       |         752 |
|      139 | ebay Timesaving Techniques for Dummies                                                                 |         7    | Marsha Collier                                                |         391 |
|      251 | Nexus (The Rosy Crucifixion  #3)                                                                       |         7    | Henry Miller                                                  |         316 |
|      404 | Running Dog                                                                                            |         7    | Don DeLillo                                                   |         256 |
|      416 | Slow Learner: Early Stories                                                                            |         7    | Thomas Pynchon                                                |         193 |
|       63 | The Changeling                                                                                         |         7    | Kate Horsley                                                  |         339 |
|      397 | The Gettysburg Address                                                                                 |         7    | Abraham Lincoln, Michael McCurdy                              |          32 |
|      842 | The Psychology of Everyday Things                                                                      |         7    | Donald A. Norman                                              |         257 |
|      902 | The Westing Game                                                                                       |         7    | Ellen Raskin                                                  |         182 |
|     1007 | Think and Grow Rich                                                                                    |         7    | Napoleon Hill                                                 |         368 |
|      871 | Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4)                                                  |         6.8  | Akira Watanabe, Hiromu Arakawa                                |         200 |
|       23 | Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right                         |         6.67 | Bill Bryson                                                   |         256 |
|       27 | Neither Here nor There: Travels in Europe                                                              |         6.67 | Bill Bryson                                                   |         254 |
|      865 | The Alchemist                                                                                          |         6.67 | Alan R. Clarke, Özdemir İnce, Paulo Coelho                    |         197 |
|      420 | The Year of Magical Thinking                                                                           |         6.67 | Joan Didion                                                   |         227 |
|      494 | Wizard: The Life and Times of Nikola Tesla: Biography of a Genius                                      |         6.67 | Marc J. Seifer, William H. Terbo                              |         542 |
|      103 | God Emperor of Dune (Dune Chronicles  #4)                                                              |         6.5  | Frank Herbert                                                 |         423 |
|     1059 | Shibumi                                                                                                |         6.5  | Gisela Stege, Trevanian                                       |         480 |
|      619 | Vice (V  #8)                                                                                           |         6.5  | Jane Feather                                                  |         419 |
|      870 | Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1)                                                  |         6.33 | Akira Watanabe, Hiromu Arakawa                                |         192 |
|       30 | J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings                                  |         6.33 | J.R.R. Tolkien                                                |        1728 |
|      664 | The Fountainhead                                                                                       |         6.33 | Ayn Rand                                                      |         752 |
|      400 | Libra                                                                                                  |         6.25 | Don DeLillo                                                   |         480 |
|      431 | The New York Trilogy                                                                                   |         6.2  | Art Spiegelman, Luc Sante, Paul Auster                        |         308 |
|      426 | We Tell Ourselves Stories in Order to Live: Collected Nonfiction                                       |         6.2  | Joan Didion, John Leonard                                     |        1122 |
|      151 | Anna Karenina                                                                                          |         6    | Larissa Volokhonsky, Leo Tolstoy, Richard Pevear              |         838 |
|      762 | Crónica de una muerte anunciada                                                                        |         6    | Gabriel García Márquez                                        |         118 |
|      980 | Deception Point                                                                                        |         6    | Dan Brown                                                     |         448 |
|      425 | Democracy                                                                                              |         6    | Joan Didion                                                   |         234 |
|      935 | Geisha of Gion                                                                                         |         6    | Mineko Iwasaki, Rande Brown                                   |         334 |
|       94 | Getting Results with Curriculum Mapping                                                                |         6    | Heidi Hayes Jacobs                                            |         192 |
|       81 | Giving Good Weight                                                                                     |         6    | John McPhee                                                   |         288 |
+----------+--------------------------------------------------------------------------------------------------------+--------------+---------------------------------------------------------------+-------------+
